student_id,name,assigned_session,preference_rank
1,Student_001,Course_6,3
2,Student_002,Course_2,1
3,Student_003,Course_8,2
4,Student_004,Course_1,1
5,Student_005,Course_7,3
6,Student_006,Course_10,3
7,Student_007,Course_5,3
8,Student_008,Course_7,2
9,Student_009,Course_5,3
10,Student_010,Course_7,2
11,Student_011,Course_3,3
12,Student_012,Course_6,3
13,Student_013,Course_2,1
14,Student_014,Course_7,3
15,Student_015,Course_5,1
16,Student_016,Course_4,3
17,Student_017,Course_6,3
18,Student_018,Course_3,3
19,Student_019,Course_5,3
20,Student_020,Course_7,3
21,Student_021,Course_6,3
22,Student_022,Course_2,1
23,Student_023,Course_5,3
24,Student_024,Course_6,3
25,Student_025,Course_3,2
26,Student_026,Course_5,2
27,Student_027,Course_4,3
28,Student_028,Course_8,3
29,Student_029,Course_4,3
30,Student_030,Course_6,2
31,Student_031,Course_2,1
32,Student_032,Course_6,3
33,Student_033,Course_3,2
34,Student_034,Course_9,3
35,Student_035,Course_6,2
36,Student_036,Course_10,2
37,Student_037,Course_4,2
38,Student_038,Course_6,3
39,Student_039,Course_7,3
40,Student_040,Course_8,2
41,Student_041,Course_5,3
42,Student_042,Course_10,4
43,Student_043,Course_3,3
44,Student_044,Course_1,1
45,Student_045,Course_10,2
46,Student_046,Course_7,2
47,Student_047,Course_10,3
48,Student_048,Course_1,1
49,Student_049,Course_3,3
50,Student_050,Course_9,3
51,Student_051,Course_1,1
52,Student_052,Course_10,3
53,Student_053,Course_8,1
54,Student_054,Course_7,2
55,Student_055,Course_6,3
56,Student_056,Course_4,2
57,Student_057,Course_10,3
58,Student_058,Course_10,3
59,Student_059,Course_8,2
60,Student_060,Course_2,1
61,Student_061,Course_5,3
62,Student_062,Course_10,5
63,Student_063,Course_8,3
64,Student_064,Course_4,2
65,Student_065,Course_10,2
66,Student_066,Course_5,1
67,Student_067,Course_9,2
68,Student_068,Course_8,3
69,Student_069,Course_7,2
70,Student_070,Course_5,3
71,Student_071,Course_5,3
72,Student_072,Course_7,3
73,Student_073,Course_10,1
74,Student_074,Course_3,3
75,Student_075,Course_3,2
76,Student_076,Course_2,1
77,Student_077,Course_4,2
78,Student_078,Course_7,3
79,Student_079,Course_7,2
80,Student_080,Course_3,3
81,Student_081,Course_9,2
82,Student_082,Course_1,1
83,Student_083,Course_4,2
84,Student_084,Course_2,1
85,Student_085,Course_7,3
86,Student_086,Course_4,3
87,Student_087,Course_2,1
88,Student_088,Course_7,1
89,Student_089,Course_1,1
90,Student_090,Course_5,2
91,Student_091,Course_10,2
92,Student_092,Course_10,2
93,Student_093,Course_5,1
94,Student_094,Course_10,3
95,Student_095,Course_8,4
96,Student_096,Course_8,3
97,Student_097,Course_2,1
98,Student_098,Course_3,4
99,Student_099,Course_1,1
100,Student_100,Course_9,2
101,Student_101,Course_6,3
102,Student_102,Course_4,3
103,Student_103,Course_5,3
104,Student_104,Course_1,1
105,Student_105,Course_10,3
106,Student_106,Course_9,3
107,Student_107,Course_2,1
108,Student_108,Course_2,1
109,Student_109,Course_3,1
110,Student_110,Course_4,2
111,Student_111,Course_8,2
112,Student_112,Course_3,5
113,Student_113,Course_6,3
114,Student_114,Course_9,3
115,Student_115,Course_5,2
116,Student_116,Course_2,1
117,Student_117,Course_6,3
118,Student_118,Course_4,3
119,Student_119,Course_1,1
120,Student_120,Course_3,1
121,Student_121,Course_5,3
122,Student_122,Course_2,1
123,Student_123,Course_8,3
124,Student_124,Course_8,2
125,Student_125,Course_9,3
126,Student_126,Course_7,2
127,Student_127,Course_8,3
128,Student_128,Course_2,1
129,Student_129,Course_9,2
130,Student_130,Course_8,3
131,Student_131,Course_1,1
132,Student_132,Course_1,1
133,Student_133,Course_2,1
134,Student_134,Course_9,3
135,Student_135,Course_10,3
136,Student_136,Course_3,2
137,Student_137,Course_8,3
138,Student_138,Course_9,1
139,Student_139,Course_2,1
140,Student_140,Course_4,2
141,Student_141,Course_2,1
142,Student_142,Course_4,3
143,Student_143,Course_1,1
144,Student_144,Course_10,2
145,Student_145,Course_2,1
146,Student_146,Course_2,1
147,Student_147,Course_2,1
148,Student_148,Course_1,1
149,Student_149,Course_2,1
150,Student_150,Course_7,2
151,Student_151,Course_4,2
152,Student_152,Course_5,5
153,Student_153,Course_5,3
154,Student_154,Course_5,3
155,Student_155,Course_6,3
156,Student_156,Course_3,3
157,Student_157,Course_7,3
158,Student_158,Course_9,2
159,Student_159,Course_3,3
160,Student_160,Course_2,1
161,Student_161,Course_6,4
162,Student_162,Course_9,3
163,Student_163,Course_7,3
164,Student_164,Course_6,3
165,Student_165,Course_10,3
166,Student_166,Course_1,2
167,Student_167,Course_9,3
168,Student_168,Course_10,3
169,Student_169,Course_1,1
170,Student_170,Course_5,3
171,Student_171,Course_6,3
172,Student_172,Course_7,3
173,Student_173,Course_7,1
174,Student_174,Course_6,2
175,Student_175,Course_8,3
176,Student_176,Course_4,3
177,Student_177,Course_8,2
178,Student_178,Course_4,3
